day	hour	value
0	0	0.0
0	1	0.00437179134332
0	2	0.0101479059547
0	3	0.0131352575975
0	4	0.0139228197714
0	5	0.0197382075161
0	6	0.0280181696287
0	7	0.0439994943893
0	8	0.0483449801433
0	9	0.0611440695994
0	10	0.0727658295582
0	11	0.0728420293169
0	12	0.0740360313709
0	13	0.0805396869524
0	14	0.186370777775
0	15	0.189265998105
0	16	0.189826443008
0	17	0.190485811747
0	18	0.196065560692
0	19	0.196859050886
0	20	0.200805259784
0	21	0.204988342487
0	22	0.207245065649
0	23	0.212582630271
0	24	0.219142725544
0	25	0.223191439791
0	26	0.227990789586
0	27	0.239158685504
0	28	0.243552953923
0	29	0.249398228769
0	30	0.254486693046
0	31	0.258420181401
0	32	0.265516638995
0	33	0.270543600063
0	34	0.277033917599
0	35	0.279753149832
0	36	0.282017777021
0	37	0.286766244643
0	38	0.289169686303
0	39	0.299325125784
0	40	0.288911446927
0	41	0.302502915073
0	42	0.303744588289
0	43	0.304717771593
0	44	0.305767278156
0	45	0.306812585705
0	46	0.3136144948
0	47	0.315694365361
1	0	0.00437179134332
1	1	0.0
1	2	0.00725886064565
1	3	0.0108123382106
1	4	0.0117199427921
1	5	0.017691188066
1	6	0.0259916512482
1	7	0.0422335618935
1	8	0.0465442205293
1	9	0.059348497003
1	10	0.0710940043819
1	11	0.0712601124459
1	12	0.0725252507414
1	13	0.0790185322877
1	14	0.184843942091
1	15	0.187866367853
1	16	0.188406311686
1	17	0.189105941562
1	18	0.194716812612
1	19	0.195566618998
1	20	0.199521472925
1	21	0.203730984718
1	22	0.206060326126
1	23	0.211483353039
1	24	0.218072100409
1	25	0.222098090579
1	26	0.226910037416
1	27	0.238178956677
1	28	0.242604841204
1	29	0.248387871839
1	30	0.253533887311
1	31	0.257445886593
1	32	0.264508258072
1	33	0.269432466791
1	34	0.276000095589
1	35	0.278734394873
1	36	0.280922698803
1	37	0.285714638573
1	38	0.288171185413
1	39	0.298466180367
1	40	0.287957653188
1	41	0.301670645747
1	42	0.30291725898
1	43	0.304000357657
1	44	0.305051840227
1	45	0.306010697483
1	46	0.3129667351
1	47	0.314868518057
2	0	0.0101479059547
2	1	0.00725886064565
2	2	0.0
2	3	0.00459779711067
2	4	0.00582230376818
2	5	0.0119486655687
2	6	0.020708056309
2	7	0.0371386755951
2	8	0.0415387485344
2	9	0.0544040342153
2	10	0.0662992241025
2	11	0.0664334690583
2	12	0.067768508591
2	13	0.074340336404
2	14	0.180238117453
2	15	0.183295864335
2	16	0.183860755253
2	17	0.184517653984
2	18	0.190235229396
2	19	0.191095409817
2	20	0.195052486752
2	21	0.199351659849
2	22	0.20151081768
2	23	0.206967436706
2	24	0.213503078896
2	25	0.217604157321
2	26	0.222441545245
2	27	0.23374726763
2	28	0.238229715349
2	29	0.24391419265
2	30	0.249147646419
2	31	0.253049271666
2	32	0.260058537964
2	33	0.264899260399
2	34	0.271403656983
2	35	0.274204646493
2	36	0.276401842453
2	37	0.281249357412
2	38	0.283860773778
2	39	0.294711273618
2	40	0.283793713051
2	41	0.298248449128
2	42	0.299522479454
2	43	0.300644357263
2	44	0.301737088973
2	45	0.302669270138
2	46	0.309707559035
2	47	0.311394698263
3	0	0.0131352575975
3	1	0.0108123382106
3	2	0.00459779711067
3	3	0.0
3	4	0.00236243952107
3	5	0.00854338850694
3	6	0.0173494624058
3	7	0.033828740857
3	8	0.0383864003314
3	9	0.0512531680173
3	10	0.063225669167
3	11	0.0633890602217
3	12	0.0647675719021
3	13	0.071368545814
3	14	0.178417350772
3	15	0.181394328379
3	16	0.181947610258
3	17	0.182674410225
3	18	0.18843101177
3	19	0.189337875349
3	20	0.193368805535
3	21	0.197732692852
3	22	0.199874560624
3	23	0.205429485984
3	24	0.212030830398
3	25	0.21618723701
3	26	0.221056241041
3	27	0.232408152584
3	28	0.236967664564
3	29	0.242825536453
3	30	0.24816445958
3	31	0.252112520985
3	32	0.259115118261
3	33	0.263999065843
3	34	0.270731938203
3	35	0.273653958124
3	36	0.275819784977
3	37	0.28090120973
3	38	0.283717142791
3	39	0.294565666624
3	40	0.283751105406
3	41	0.298169779361
3	42	0.299401078541
3	43	0.30055210245
3	44	0.301664347226
3	45	0.302669640639
3	46	0.30965309535
3	47	0.310783247687
4	0	0.0139228197714
4	1	0.0117199427921
4	2	0.00582230376818
4	3	0.00236243952107
4	4	0.0
4	5	0.00697555068374
4	6	0.0161696629
4	7	0.0328826041447
4	8	0.0373283722392
4	9	0.0502998682806
4	10	0.0623222635997
4	11	0.0625130717475
4	12	0.0638980054497
4	13	0.0704120350665
4	14	0.177508758187
4	15	0.18058157212
4	16	0.181176103138
4	17	0.18197774436
4	18	0.187687168745
4	19	0.188667391573
4	20	0.192673127673
4	21	0.197023676945
4	22	0.199206052854
4	23	0.204761966218
4	24	0.211309217448
4	25	0.215508602206
4	26	0.220413174358
4	27	0.231790526987
4	28	0.236332254907
4	29	0.242188150789
4	30	0.247562889038
4	31	0.251543307552
4	32	0.258574556925
4	33	0.263433804424
4	34	0.270147657719
4	35	0.273109691776
4	36	0.275385187002
4	37	0.280718305609
4	38	0.28364613005
4	39	0.294598394235
4	40	0.283721094804
4	41	0.298306247324
4	42	0.299514575427
4	43	0.3005080128
4	44	0.301604943524
4	45	0.302639877038
4	46	0.309711511048
4	47	0.310761388113
5	0	0.0197382075161
5	1	0.017691188066
5	2	0.0119486655687
5	3	0.00854338850694
5	4	0.00697555068374
5	5	0.0
5	6	0.0100865262463
5	7	0.0270995735098
5	8	0.0316236408702
5	9	0.0446462660852
5	10	0.0567474546718
5	11	0.0568528005295
5	12	0.0583343115596
5	13	0.0648972473424
5	14	0.173053357059
5	15	0.176224724327
5	16	0.176870137518
5	17	0.177710804873
5	18	0.183559784731
5	19	0.184551616599
5	20	0.188585263794
5	21	0.193058819483
5	22	0.195299734591
5	23	0.200961611315
5	24	0.207580245787
5	25	0.211822855692
5	26	0.216755338939
5	27	0.228251004969
5	28	0.232815456967
5	29	0.238715813
5	30	0.2441058653
5	31	0.248176439121
5	32	0.255311675847
5	33	0.26041372517
5	34	0.2672557719
5	35	0.270340318373
5	36	0.272715107936
5	37	0.278235453179
5	38	0.281382120363
5	39	0.292546311268
5	40	0.281752251119
5	41	0.296652329709
5	42	0.297966868172
5	43	0.298987228636
5	44	0.300195309738
5	45	0.301312988533
5	46	0.308505652954
5	47	0.309617527229
6	0	0.0280181696287
6	1	0.0259916512482
6	2	0.020708056309
6	3	0.0173494624058
6	4	0.0161696629
6	5	0.0100865262463
6	6	0.0
6	7	0.0182070493175
6	8	0.0229642854695
6	9	0.0361425212129
6	10	0.0482708798917
6	11	0.0485254142559
6	12	0.0499842012089
6	13	0.0566125922139
6	14	0.164757092892
6	15	0.167983788347
6	16	0.168630189542
6	17	0.169392310629
6	18	0.17523906748
6	19	0.176241026382
6	20	0.180279613594
6	21	0.18485839164
6	22	0.187129934853
6	23	0.192849856773
6	24	0.19952283143
6	25	0.203786189405
6	26	0.208715955643
6	27	0.220368714207
6	28	0.224986024384
6	29	0.231000247804
6	30	0.236428091232
6	31	0.24054781822
6	32	0.247715412056
6	33	0.252924906743
6	34	0.259873410835
6	35	0.262997724443
6	36	0.265343120906
6	37	0.270938060402
6	38	0.274121777712
6	39	0.285472948252
6	40	0.274961210062
6	41	0.289971451026
6	42	0.291456667068
6	43	0.292679815221
6	44	0.293968665597
6	45	0.295116478494
6	46	0.302221210617
6	47	0.303271828684
7	0	0.0439994943893
7	1	0.0422335618935
7	2	0.0371386755951
7	3	0.033828740857
7	4	0.0328826041447
7	5	0.0270995735098
7	6	0.0182070493175
7	7	0.0
7	8	0.00565335519455
7	9	0.0190753807657
7	10	0.0314334502244
7	11	0.0316664955157
7	12	0.0330687192766
7	13	0.0396958752774
7	14	0.147940164294
7	15	0.151301969208
7	16	0.152033585692
7	17	0.152880181066
7	18	0.158797827158
7	19	0.159828932159
7	20	0.163844795294
7	21	0.168521879674
7	22	0.170769957807
7	23	0.176559286963
7	24	0.183295493834
7	25	0.1875855279
7	26	0.192520481155
7	27	0.204182625751
7	28	0.208799688927
7	29	0.214868252531
7	30	0.220256575826
7	31	0.224494616215
7	32	0.231852647698
7	33	0.237095734499
7	34	0.244235911242
7	35	0.247417282044
7	36	0.249859996837
7	37	0.255630059928
7	38	0.259005449888
7	39	0.270613748301
7	40	0.260316406839
7	41	0.276007876116
7	42	0.277950537712
7	43	0.279184800902
7	44	0.280704350061
7	45	0.28205297464
7	46	0.289200931909
7	47	0.289871662687
8	0	0.0483449801433
8	1	0.0465442205293
8	2	0.0415387485344
8	3	0.0383864003314
8	4	0.0373283722392
8	5	0.0316236408702
8	6	0.0229642854695
8	7	0.00565335519455
8	8	0.0
8	9	0.0140170505914
8	10	0.026468733368
8	11	0.0268319481012
8	12	0.0283799023569
8	13	0.0349512361682
8	14	0.143213803247
8	15	0.146699355581
8	16	0.1473235267
8	17	0.148113311882
8	18	0.154096907198
8	19	0.15526089865
8	20	0.159316528919
8	21	0.16404400147
8	22	0.166243420438
8	23	0.172115494875
8	24	0.17890283092
8	25	0.183314389398
8	26	0.188230817591
8	27	0.199963357426
8	28	0.204621669742
8	29	0.210663804256
8	30	0.216071146616
8	31	0.220355870163
8	32	0.227858397136
8	33	0.233250672444
8	34	0.240502740567
8	35	0.243801683768
8	36	0.246325414836
8	37	0.252303452633
8	38	0.255705518684
8	39	0.267438799522
8	40	0.257275826516
8	41	0.273380528195
8	42	0.275556605584
8	43	0.276975872402
8	44	0.278576437837
8	45	0.280045598825
8	46	0.287264939336
8	47	0.288100172672
9	0	0.0611440695994
9	1	0.059348497003
