day	hour	value
0	0	1.0
0	1	0.995628208657
0	2	0.989852094045
0	3	0.986864742403
0	4	0.986077180229
0	5	0.980261792484
0	6	0.971981830371
0	7	0.956000505611
0	8	0.951655019857
0	9	0.938855930401
0	10	0.927234170442
0	11	0.927157970683
0	12	0.925963968629
0	13	0.919460313048
0	14	0.813629222225
0	15	0.810734001895
0	16	0.810173556992
0	17	0.809514188253
0	18	0.803934439308
0	19	0.803140949114
0	20	0.799194740216
0	21	0.795011657513
0	22	0.792754934351
0	23	0.787417369729
0	24	0.780857274456
0	25	0.776808560209
0	26	0.772009210414
0	27	0.760841314496
0	28	0.756447046077
0	29	0.750601771231
0	30	0.745513306954
0	31	0.741579818599
0	32	0.734483361005
0	33	0.729456399937
0	34	0.722966082401
0	35	0.720246850168
0	36	0.717982222979
0	37	0.713233755357
0	38	0.710830313697
0	39	0.700674874216
0	40	0.711088553073
0	41	0.697497084927
0	42	0.696255411711
0	43	0.695282228407
0	44	0.694232721844
0	45	0.693187414295
0	46	0.6863855052
0	47	0.684305634639
1	0	0.995628208657
1	1	1.0
1	2	0.992741139354
1	3	0.989187661789
1	4	0.988280057208
1	5	0.982308811934
1	6	0.974008348752
1	7	0.957766438107
1	8	0.953455779471
1	9	0.940651502997
1	10	0.928905995618
1	11	0.928739887554
1	12	0.927474749259
1	13	0.920981467712
1	14	0.815156057909
1	15	0.812133632147
1	16	0.811593688314
1	17	0.810894058438
1	18	0.805283187388
1	19	0.804433381002
1	20	0.800478527075
1	21	0.796269015282
1	22	0.793939673874
1	23	0.788516646961
1	24	0.781927899591
1	25	0.777901909421
1	26	0.773089962584
1	27	0.761821043323
1	28	0.757395158796
1	29	0.751612128161
1	30	0.746466112689
1	31	0.742554113407
1	32	0.735491741928
1	33	0.730567533209
1	34	0.723999904411
1	35	0.721265605127
1	36	0.719077301197
1	37	0.714285361427
1	38	0.711828814587
1	39	0.701533819633
1	40	0.712042346812
1	41	0.698329354253
1	42	0.69708274102
1	43	0.695999642343
1	44	0.694948159773
1	45	0.693989302517
1	46	0.6870332649
1	47	0.685131481943
2	0	0.989852094045
2	1	0.992741139354
2	2	1.0
2	3	0.995402202889
2	4	0.994177696232
2	5	0.988051334431
2	6	0.979291943691
2	7	0.962861324405
2	8	0.958461251466
2	9	0.945595965785
2	10	0.933700775898
2	11	0.933566530942
2	12	0.932231491409
2	13	0.925659663596
2	14	0.819761882547
2	15	0.816704135665
2	16	0.816139244747
2	17	0.815482346016
2	18	0.809764770604
2	19	0.808904590183
2	20	0.804947513248
2	21	0.800648340151
2	22	0.79848918232
2	23	0.793032563294
2	24	0.786496921104
2	25	0.782395842679
2	26	0.777558454755
2	27	0.76625273237
2	28	0.761770284651
2	29	0.75608580735
2	30	0.750852353581
2	31	0.746950728334
2	32	0.739941462036
2	33	0.735100739601
2	34	0.728596343017
2	35	0.725795353507
2	36	0.723598157547
2	37	0.718750642588
2	38	0.716139226222
2	39	0.705288726382
2	40	0.716206286949
2	41	0.701751550872
2	42	0.700477520546
2	43	0.699355642737
2	44	0.698262911027
2	45	0.697330729862
2	46	0.690292440965
2	47	0.688605301737
3	0	0.986864742403
3	1	0.989187661789
3	2	0.995402202889
3	3	1.0
3	4	0.997637560479
3	5	0.991456611493
3	6	0.982650537594
3	7	0.966171259143
3	8	0.961613599669
3	9	0.948746831983
3	10	0.936774330833
3	11	0.936610939778
3	12	0.935232428098
3	13	0.928631454186
3	14	0.821582649228
3	15	0.818605671621
3	16	0.818052389742
3	17	0.817325589775
3	18	0.81156898823
3	19	0.810662124651
3	20	0.806631194465
3	21	0.802267307148
3	22	0.800125439376
3	23	0.794570514016
3	24	0.787969169602
3	25	0.78381276299
3	26	0.778943758959
3	27	0.767591847416
3	28	0.763032335436
3	29	0.757174463547
3	30	0.75183554042
3	31	0.747887479015
3	32	0.740884881739
3	33	0.736000934157
3	34	0.729268061797
3	35	0.726346041876
3	36	0.724180215023
3	37	0.71909879027
3	38	0.716282857209
3	39	0.705434333376
3	40	0.716248894594
3	41	0.701830220639
3	42	0.700598921459
3	43	0.69944789755
3	44	0.698335652774
3	45	0.697330359361
3	46	0.69034690465
3	47	0.689216752313
4	0	0.986077180229
4	1	0.988280057208
4	2	0.994177696232
4	3	0.997637560479
4	4	1.0
4	5	0.993024449316
4	6	0.9838303371
4	7	0.967117395855
4	8	0.962671627761
4	9	0.949700131719
4	10	0.9376777364
4	11	0.937486928252
4	12	0.93610199455
4	13	0.929587964934
4	14	0.822491241813
4	15	0.81941842788
4	16	0.818823896862
4	17	0.81802225564
4	18	0.812312831255
4	19	0.811332608427
4	20	0.807326872327
4	21	0.802976323055
4	22	0.800793947146
4	23	0.795238033782
4	24	0.788690782552
4	25	0.784491397794
4	26	0.779586825642
4	27	0.768209473013
4	28	0.763667745093
4	29	0.757811849211
4	30	0.752437110962
4	31	0.748456692448
4	32	0.741425443075
4	33	0.736566195576
4	34	0.729852342281
4	35	0.726890308224
4	36	0.724614812998
4	37	0.719281694391
4	38	0.71635386995
4	39	0.705401605765
4	40	0.716278905196
4	41	0.701693752676
4	42	0.700485424573
4	43	0.6994919872
4	44	0.698395056476
4	45	0.697360122962
4	46	0.690288488952
4	47	0.689238611887
5	0	0.980261792484
5	1	0.982308811934
5	2	0.988051334431
5	3	0.991456611493
5	4	0.993024449316
5	5	1.0
5	6	0.989913473754
5	7	0.97290042649
5	8	0.96837635913
5	9	0.955353733915
5	10	0.943252545328
5	11	0.943147199471
5	12	0.94166568844
5	13	0.935102752658
5	14	0.826946642941
5	15	0.823775275673
5	16	0.823129862482
5	17	0.822289195127
5	18	0.816440215269
5	19	0.815448383401
5	20	0.811414736206
5	21	0.806941180517
5	22	0.804700265409
5	23	0.799038388685
5	24	0.792419754213
5	25	0.788177144308
5	26	0.783244661061
5	27	0.771748995031
5	28	0.767184543033
5	29	0.761284187
5	30	0.7558941347
5	31	0.751823560879
5	32	0.744688324153
5	33	0.73958627483
5	34	0.7327442281
5	35	0.729659681627
5	36	0.727284892064
5	37	0.721764546821
5	38	0.718617879637
5	39	0.707453688732
5	40	0.718247748881
5	41	0.703347670291
5	42	0.702033131828
5	43	0.701012771364
5	44	0.699804690262
5	45	0.698687011467
5	46	0.691494347046
5	47	0.690382472771
6	0	0.971981830371
6	1	0.974008348752
6	2	0.979291943691
6	3	0.982650537594
